position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Nguyễn Xuân Phúc,Q10800073,2021-04-05,male,1954-07-20,,Vietnamese Prime Minister Phuc.jpg,Nguyễn Xuân Phúc
Vice President,Đặng Thị Ngọc Thịnh,Q10841571,2016-04-08,female,1959-12-25,,Mrs. Dang Thi Ngoc Thinh.jpg,Đặng Thị Ngọc Thịnh
Prime Minister,Phạm Minh Chính,Q10806940,2021-04-05,male,1958-12-10,,Mr. Pham Minh Chinh.jpg,Phạm Minh Chính
Deputy Prime Minister,Vũ Đức Đam,Q10833975,2013-11-13,male,1963-02-03,,Mr. Vu Duc Dam.jpg,Vũ Đức Đam
Deputy Prime Minister,Lê Minh Khái,Q24957821,2021-04-08,male,1964,,Mr. Le Minh Khai.jpg,Lê Minh Khái
Deputy Prime Minister,Phạm Bình Minh,Q10806892,2021-09-06,male,1959-03-26,,Mr. Pham Binh Minh.jpg,Phạm Bình Minh
Minister of Defence,Phan Văn Giang,Q20026119,2021-04-08,male,1960,,Mr. Phan Van Giang.jpg,Phan Văn Giang
Minister of Health,Nguyễn Thanh Long,Q24957446,2020-11-12,male,1966,,Mr. Nguyen Thanh Long.jpg,Nguyễn Thanh Long
Minister of Public Security,Tô Lâm,Q10831196,2016-04-09,male,1957-07-10,,Mr. To Lam.jpg,Tô Lâm
Chairman of the National Assembly,Vuong Dinh Hue,Q2595973,2021-03-31,male,1958,,Vuong Dinh Hue 20210906.jpg,Vương Đình Huệ
Governor of the State Bank,Nguyễn Thị Hồng,Q25417879,2020-11-12,female,1968,,Nguyen Thi Hong 20180702.jpg,Nguyễn Thị Hồng (economist)
