item,itemLabel,startDate,endDate,sourceDate,psid
Q58170,Phạm Gia Khiêm,1997,2011,2022-07-10,Q58170-2cb862de-4a47-80b5-d939-b00afb9b87f4
Q10799023,Nguyễn Công Tạn,1997-09-29,2002-08-12,2022-07-10,Q10799023-9D6AACB9-A5FC-4B81-97AE-0EB25F8C35E2
Q10799296,Nguyễn Mạnh Cầm,1997-09-29,2002-08-12,2022-07-10,Q10799296-DE0E3F3D-A56F-49B8-80FC-F49534D265EE
Q57600,Nguyễn Tấn Dũng,1997-09-29,2006-06-27,2022-07-10,Q57600-DCBD6DC8-A939-4C5C-BAF1-80686135B239
Q7943276,Vũ Khoan,2002-08-12,2006-06-27,2022-07-10,Q7943276-D10E7DB2-7899-430F-A10B-54807C3E12BD
Q10828766,Trương Vĩnh Trọng,2006-06-28,2012-01-19,2022-07-10,Q10828766-9058997D-DA30-4857-A468-2AD765D5E7A6
Q4120045,Nguyễn Sinh Hùng,2006-06-28,2011-07-25,2022-07-10,Q4120045-3885F331-95C4-4426-A4E0-1514D535EB57
Q7022980,Nguyễn Thiện Nhân,2007-08-02,2013-11-11,2022-07-10,Q7022980-3527E1B2-9243-4C65-A9D0-017C496BC1EC
Q10769050,Hoàng Trung Hải,2007-08-27,2016-04-08,2022-07-10,Q10769050-9100615b-423b-9762-37f3-85d3a277f19e
Q10800073,Nguyễn Xuân Phúc,2011-08-02,2016-04-07,2022-07-10,Q10800073-04151448-CCE0-49BE-A178-E6D93037D91D
Q7943286,Vũ Văn Ninh,2011-08-02,2016-04-08,2022-07-10,Q7943286-69281660-3E96-4979-94ED-AACFF13D3C8E
Q10806892,Phạm Bình Minh,2013-11-13,2021-09-06,,Q10806892-CBBAFD1D-035A-4DC0-9F85-4413683B3C9E
Q10833975,Vũ Đức Đam,2013-11-13,,,Q10833975-A9A7780F-A336-4F0A-AB4F-70EFCF0F749B
Q10829899,Trịnh Đình Dũng,2016-04-09,2021-04-07,2022-07-10,Q10829899-A37DE65A-743C-42DF-A7FE-0831ED39C2E4
Q2595973,Vương Đình Huệ,2016-04-09,2020-06-11,2022-07-10,Q2595973-4477F324-3701-4053-BC58-85DCAE1C8A07
Q7847999,Trương Hòa Bình,2016-04-09,2021-07-28,2022-07-10,Q7847999-688B4523-AE1E-4904-8023-940301F3FD3C
Q24957821,Lê Minh Khái,2021-04-08,,,Q24957821-60d95477-477d-63ab-b4b9-13cee43af8e6
Q49054321,Lê Văn Thành,2021-04-08,,2022-07-10,Q49054321-A23A8FBA-91C6-4FB5-AA6A-EE21D07341C5
Q10806892,Phạm Bình Minh,2021-09-06,,,Q10806892-4DCBDF50-7236-4565-8816-CDDB1583142E
