item,itemLabel,position,positionLabel,start,psid
Q10806892,Phạm Bình Minh,Q5261077,Deputy Prime Minister of Vietnam,2021-09-06,Q10806892-4DCBDF50-7236-4565-8816-CDDB1583142E
Q10806940,Phạm Minh Chính,Q1043568,Prime Minister of Vietnam,2021-04-05,Q10806940-ad2b6708-486f-d9c0-7f6d-b4385f58355d
Q10831196,Tô Lâm,Q16481261,Minister of Public Security,2016-04-09,Q10831196-33d79a1a-406e-247f-04b9-834c69816ba6
Q10833975,Vũ Đức Đam,Q5261077,Deputy Prime Minister of Vietnam,2013-11-13,Q10833975-A9A7780F-A336-4F0A-AB4F-70EFCF0F749B
Q16157242,Hồ Đức Phớc,Q113002811,Minister of Finance of Vietnam,2021-04-08,Q16157242-ABFF578E-2717-46FF-AF5F-9924A04778D2
Q20026119,Phan Văn Giang,Q4294935,Minister of Defence,2021-04-08,Q20026119-D5EC8FD7-9CEB-47B5-8EB0-1EDB5CE32D8E
Q24957821,Lê Minh Khái,Q5261077,Deputy Prime Minister of Vietnam,2021-04-08,Q24957821-60d95477-477d-63ab-b4b9-13cee43af8e6
Q30921853,Bùi Thanh Sơn,Q19892487,Minister of Foreign Affairs,2021-04-08,Q30921853-2648BCDB-7910-4A03-B3B7-BA6FC2BE2AFA
Q49054321,Q49054321,Q5261077,Deputy Prime Minister of Vietnam,2021-04-08,Q49054321-A23A8FBA-91C6-4FB5-AA6A-EE21D07341C5
Q49081097,Đào Hồng Lan,Q30923396,Minister of Health,2022-07-15,Q49081097-AE262096-9A25-48BD-8061-8CB59F04DF5A
